                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.85255,                0.99602,                 1.1905,                0.75547,                0.71429,                0.76137,                0.61089,                0.74039,                0.99396,                 1.2252,              0.0033175,              0.0033175,              0.0033175
                    137,                0.84592,                 1.0027,                 1.1833,                0.75592,                 0.7137,                0.76311,                0.61189,                0.74007,                0.99404,                  1.225,               0.003268,               0.003268,               0.003268
                    138,                0.84205,                0.99696,                 1.1862,                0.75607,                 0.7156,                0.76311,                0.61171,                0.74021,                0.99325,                 1.2255,              0.0032185,              0.0032185,              0.0032185
                    139,                0.84153,                 1.0061,                 1.1877,                0.75453,                 0.7174,                 0.7625,                0.61079,                0.74064,                0.99451,                 1.2259,               0.003169,               0.003169,               0.003169
                    140,                  0.846,                0.98155,                 1.1827,                0.76191,                0.71306,                0.76199,                0.61025,                 0.7409,                0.99602,                  1.226,              0.0031195,              0.0031195,              0.0031195
                    141,                0.83455,                 0.9651,                 1.1739,                0.76123,                0.71538,                 0.7626,                0.61153,                0.74106,                0.99672,                  1.226,                0.00307,                0.00307,                0.00307
                    142,                 0.8386,                0.95671,                  1.177,                0.76101,                0.71527,                0.76231,                 0.6105,                0.74101,                0.99553,                  1.226,              0.0030205,              0.0030205,              0.0030205
                    143,                0.82847,                0.95829,                 1.1771,                0.76191,                 0.7116,                0.76188,                0.60958,                0.74122,                0.99607,                 1.2264,               0.002971,               0.002971,               0.002971
                    144,                0.84207,                0.99081,                 1.1826,                0.76216,                0.71239,                0.76252,                0.60862,                0.74099,                0.99628,                 1.2261,              0.0029215,              0.0029215,              0.0029215
                    145,                0.83495,                0.96803,                 1.1839,                0.76295,                0.71458,                0.76233,                0.60821,                0.74194,                0.99535,                 1.2275,               0.002872,               0.002872,               0.002872
                    146,                 0.8206,                0.96191,                 1.1699,                0.75857,                 0.7176,                0.76295,                0.60922,                0.74234,                 0.9965,                 1.2279,              0.0028225,              0.0028225,              0.0028225
                    147,                0.83481,                0.96778,                 1.1748,                0.75992,                0.71758,                0.76323,                0.60912,                0.74218,                  0.996,                 1.2278,               0.002773,               0.002773,               0.002773
